Code,Division,Coursename,Credit,Professor,Period,
ITP30010,2,(Database System),3,Chamgil Hong,"Mon6,Thu6",
,,,,,,
,,,,,,
ITP40002,1,(Software Engineering ),3,Jaechang Nam,"Mon4,Thu4",
,,,,,,
,,,,,,
ITP40003,1,(Computer Graphics),3,Dasung Han,"Mon5,Thu5",
,,,,,,
,,,,,,
ITP40004,1,(Compiler Theory),3,Keumyeong Sung,"Tue3,Fri3",
,,,,,,
,,,,,,
